,salary,gender,experience,age,mariage_status,children,health_problems,health_lvl,education,workweek,work_field,has_subs,count_subs
0,30000.0,1,25.0,49.0,0,1.0,0,2,0,45.0,ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ,0,6.0
1,30000.0,0,21.0,47.0,1,2.0,0,3,1,40.0,ОПЕРАЦИИ С НЕДВИЖИМОСТЬЮ,1,6.0
2,26000.0,1,4.0,26.0,0,2.0,1,2,0,40.0,ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ,1,5.0
3,40000.0,0,8.0,29.0,1,2.0,0,3,1,40.0,"ТРАНСПОРТ, СВЯЗЬ",0,5.0
4,30000.0,1,16.0,40.0,1,2.0,0,2,0,40.0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",0,5.0
5,10000.0,0,46.0,67.0,1,2.0,0,3,1,18.0,ОБРАЗОВАНИЕ,0,5.0
6,26000.0,1,50.0,71.0,1,2.0,0,3,1,32.0,ОБРАЗОВАНИЕ,0,5.0
7,35000.0,1,13.0,37.0,1,1.0,0,2,0,50.0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",0,5.0
8,38000.0,0,12.0,33.0,0,1.0,0,3,0,48.0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",1,45.0
9,50000.0,0,22.0,46.0,0,1.0,1,3,1,40.0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",1,3.0
10,40000.0,1,34.0,56.0,1,1.0,0,3,0,96.0,"ТРАНСПОРТ, СВЯЗЬ",0,3.0
11,23000.0,0,28.0,52.0,0,2.0,1,4,0,48.0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",0,3.0
12,11000.0,0,18.0,64.0,1,1.0,0,3,0,36.0,ЗДРАВООХРАНЕНИЕ,0,3.0
13,10000.0,0,8.0,44.0,1,1.0,0,2,0,36.0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",0,3.0
14,35000.0,1,31.0,49.0,1,1.0,0,2,0,36.0,НЕФТЕГАЗОВАЯ ПРОМЫШЛЕННОСТЬ,0,3.0
15,32000.0,1,0.0,22.0,0,1.0,0,2,0,48.0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",0,3.0
16,20000.0,0,1.0,22.0,0,1.0,0,2,0,50.0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",1,3.0
17,35000.0,1,26.0,51.0,1,1.0,0,3,0,45.0,"ТРАНСПОРТ, СВЯЗЬ",0,3.0
18,34000.0,0,43.0,61.0,0,2.0,0,3,0,40.0,ВОЕННО-ПРОМЫШЛЕННЫЙ КОМПЛЕКС,0,3.0
19,12000.0,0,36.0,54.0,1,2.0,0,3,0,40.0,ЗДРАВООХРАНЕНИЕ,0,3.0
20,28000.0,1,36.0,55.0,1,2.0,0,3,0,36.0,ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ,0,3.0
21,25000.0,0,23.0,47.0,1,2.0,1,3,0,36.0,ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ,0,3.0
22,30000.0,0,40.0,60.0,1,2.0,0,3,0,40.0,ДРУГАЯ ОТРАСЛЬ ТЯЖЕЛОЙ ПРОМЫШЛЕННОСТИ,0,3.0
23,30000.0,1,13.0,35.0,0,2.0,0,3,0,45.0,"ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ",0,3.0
24,70000.0,0,19.0,50.0,1,2.0,0,3,1,50.0,ЮРИСПРУДЕНЦИЯ,1,4.0
25,28000.0,0,29.0,48.0,1,2.0,1,3,0,72.0,ЗДРАВООХРАНЕНИЕ,0,4.0
26,25000.0,1,26.0,47.0,1,2.0,0,3,0,60.0,СТРОИТЕЛЬСТВО,0,4.0
27,12000.0,0,51.0,73.0,0,1.0,1,4,0,40.0,ОБРАЗОВАНИЕ,1,12.0
28,0.0,0,22.0,43.0,1,2.0,0,2,0,40.0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",0,12.0
29,15000.0,1,38.0,56.0,1,2.0,0,3,0,48.0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",0,12.0
30,15000.0,0,40.0,64.0,0,1.0,0,3,0,40.0,ЗДРАВООХРАНЕНИЕ,0,12.0
31,33000.0,0,26.0,52.0,1,2.0,0,2,0,40.0,ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО,0,12.0
32,18000.0,1,42.0,64.0,1,3.0,0,2,1,35.0,ОБРАЗОВАНИЕ,0,12.0
33,25000.0,1,4.0,44.0,1,1.0,0,3,0,42.0,ГРАЖДАНСКОЕ МАШИНОСТРОЕНИЕ,0,12.0
34,25000.0,1,27.0,52.0,1,1.0,0,3,0,40.0,ФИНАНСЫ,0,12.0
35,12000.0,0,5.0,38.0,1,1.0,0,3,0,24.0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",0,12.0
36,70000.0,1,38.0,55.0,1,2.0,0,2,1,50.0,ЮРИСПРУДЕНЦИЯ,1,5.0
37,16000.0,0,49.0,64.0,1,3.0,0,3,0,72.0,ЗДРАВООХРАНЕНИЕ,0,5.0
38,25000.0,1,30.0,55.0,1,1.0,0,3,0,40.0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",0,5.0
39,30000.0,0,6.0,28.0,1,1.0,0,2,1,40.0,СТРОИТЕЛЬСТВО,1,3.0
40,14500.0,0,32.0,61.0,0,1.0,1,4,0,48.0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",0,3.0
41,15000.0,0,34.0,60.0,1,2.0,0,3,0,30.0,"НАУКА, КУЛЬТУРА",0,3.0
42,20000.0,0,8.0,31.0,1,1.0,0,2,1,28.0,"ТРАНСПОРТ, СВЯЗЬ",0,3.0
43,20000.0,1,12.0,38.0,1,1.0,0,2,0,40.0,"ТРАНСПОРТ, СВЯЗЬ",1,2.0
44,11000.0,0,45.0,66.0,0,1.0,0,3,0,40.0,ОБРАЗОВАНИЕ,0,2.0
45,70000.0,0,29.0,48.0,0,1.0,1,3,1,40.0,ОБРАЗОВАНИЕ,1,56.0
46,50000.0,1,38.0,64.0,1,2.0,1,3,1,45.0,СТРОИТЕЛЬСТВО,1,60.0
47,45000.0,1,14.0,35.0,1,1.0,0,2,0,48.0,"ТРАНСПОРТ, СВЯЗЬ",0,60.0
48,100000.0,1,16.0,43.0,1,2.0,0,2,1,40.0,СТРОИТЕЛЬСТВО,1,150.0
49,25000.0,0,2.0,22.0,1,1.0,0,3,0,40.0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",0,150.0
50,8000.0,0,17.0,62.0,0,1.0,1,4,0,40.0,СТРОИТЕЛЬСТВО,0,150.0
51,9000.0,0,29.0,53.0,1,1.0,0,2,0,24.0,ОБРАЗОВАНИЕ,0,150.0
52,32000.0,0,20.0,48.0,1,2.0,1,3,0,40.0,"ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ",0,150.0
53,40000.0,1,1.0,25.0,0,2.0,0,2,1,40.0,"ТРАНСПОРТ, СВЯЗЬ",0,150.0
54,25000.0,1,10.0,32.0,1,2.0,0,2,0,40.0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",1,7.0
55,18000.0,0,16.0,46.0,0,3.0,1,3,1,40.0,ЭНЕРГЕТИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ,0,7.0
56,23000.0,0,1.0,25.0,1,1.0,0,3,0,48.0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",0,7.0
57,35000.0,1,26.0,50.0,1,3.0,0,3,1,40.0,"ТРАНСПОРТ, СВЯЗЬ",1,6.0
58,25000.0,0,18.0,49.0,1,3.0,0,3,1,40.0,ЗДРАВООХРАНЕНИЕ,1,2.0
59,20000.0,0,0.0,23.0,0,3.0,0,2,1,24.0,ОБРАЗОВАНИЕ,0,2.0
60,75000.0,1,0.0,24.0,0,3.0,0,2,1,45.0,"ТРАНСПОРТ, СВЯЗЬ",1,2.0
61,25000.0,0,2.0,30.0,1,3.0,0,2,1,60.0,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",0,2.0
